Campaign type,amount,start_month,start_year,start_quarter,Is_Weekend,clicks,impressions,views
Display,1.54,2,2022,1,False,4.0943445622221,8.087025470667701,0.0
Display,48.21,10,2021,4,False,0.9850702472689807,11.345429464494833,0.0
Search,1.75,2,2022,1,False,0.6931471805599453,3.6375861597263857,0.0
Search,68.59,8,2020,3,False,6.089044875446846,8.308691916838898,0.0
Video,29.86,11,2021,4,False,6.597145701886651,10.032408332602968,1.6990957843646357
Search,37.68,8,2020,3,False,4.6443908991413725,6.960347729101308,0.0
Search,58.13,9,2021,3,False,6.588926477533519,9.308374112247549,0.0
Display,13.92,10,2021,4,False,6.156978985585555,10.24473408831764,0.0
Search,34.05,12,2020,4,False,2.9444389791664403,8.569216219483389,0.0
Search,0.0,10,2021,4,False,0.0,2.5649493574615367,0.0
Video,93.96,12,2020,4,False,6.617402977974478,11.437393402357792,4.038303171338476
Video,2.44,3,2021,1,False,3.091042453358316,7.604396348796338,6.315358001522335
Search,34.92,7,2020,3,False,5.41610040220442,7.468513271496337,0.0
Search,0.83,9,2021,3,False,2.0794415416798357,7.025538314638521,0.0
Search,17.19,9,2020,3,False,3.58351893845611,6.3784261836515865,0.0
Video,3.17,7,2021,3,False,3.2188758248682006,7.523481312573497,5.272999558563747
Search,5.11,9,2020,3,False,2.833213344056216,4.290459441148391,0.0
Search,0.04,7,2021,3,False,1.6094379124341003,5.030437921392435,0.0
Smart,0.0,11,2019,4,False,0.0,0.6931471805599453,0.0
Search,0.06,10,2021,4,False,0.6931471805599453,1.791759469228055,0.0
Display,0.88,12,2021,4,False,3.9889840465642745,7.6783263565068856,0.0
Search,43.6,2,2022,1,False,6.212606095751519,9.184099060770956,0.0
Search,0.0,1,2022,1,False,0.0,0.6931471805599453,0.0
Search,280.92,3,2021,1,False,6.625392368007956,10.217348936771211,0.0
Display,1.73,1,2022,1,False,3.713572066704308,8.156223323194624,0.0
Search,81.01,9,2020,3,False,5.365976015021851,7.165493475060845,0.0
Search,0.67,9,2021,3,False,2.4849066497880004,5.476463551931511,0.0
Search,0.0,4,2021,2,False,0.0,3.1354942159291497,0.0
Search,9.34,8,2021,3,False,4.919980925828125,9.12467354521909,0.0
Search,71.98,4,2021,2,False,4.060443010546419,7.414572881350589,0.0
Display,2.15,5,2021,2,False,4.709530201312334,10.318275732105144,0.0
Display,35.35,8,2021,3,False,0.8981267612464839,11.884075142663272,0.0
Video,184.32,12,2020,4,False,0.8899467565345531,12.059044870809243,4.55459242501912
App,1.39,4,2022,2,False,3.258096538021482,8.195057690895077,4.795790545596741
Search,42.86,11,2021,4,False,5.14166355650266,7.090076835776092,0.0
Display,18.44,10,2021,4,False,6.77078942390898,10.87934823260691,0.0
Search,58.38,9,2020,3,False,0.7328485474114974,9.34984141075374,0.0
Display,2.3,1,2022,1,False,3.871201010907891,7.614312146452,0.0
Search,0.07,11,2021,4,False,0.6931471805599453,3.871201010907891,0.0
Search,68.55,5,2021,2,False,5.41610040220442,7.563719668414366,0.0
App,0.92,4,2021,2,False,3.044522437723423,7.00669522683704,0.0
Display,0.11,7,2021,3,False,2.4849066497880004,6.20050917404269,0.0
Search,93.54,1,2021,1,False,5.147494476813453,7.80016307039296,0.0
Search,69.46,10,2020,4,False,5.846438775057725,7.438971592395862,0.0
Display,57.05,9,2021,3,False,1.252477213385551,12.799454737900543,0.0
Search,11.58,2,2022,1,False,4.890349128221754,9.967447781495006,0.0
Search,0.01,8,2021,3,False,0.6931471805599453,4.110873864173311,0.0
Search,217.87,6,2021,2,False,6.489204931325317,8.518791912779934,0.0
Search,75.41,2,2021,1,False,4.955827057601261,7.540090320145325,0.0
Search,41.69,7,2020,3,False,5.062595033026967,7.286191714702382,0.0
Search,50.08,12,2020,4,False,5.480638923341991,8.033334015880062,0.0
Search,45.31,11,2021,4,False,6.284134161070802,8.798152718107191,0.0
Search,344.06,1,2022,1,False,6.580639137284949,11.438007934443307,0.0
App,801.75,1,2022,1,False,1.2521913765964103,12.239173710234965,0.6956440607585325
Search,78.16,8,2020,3,False,6.139884552226255,8.12058871174027,0.0
Search,76.36,3,2021,1,False,3.295836866004329,6.626717749249025,0.0
Video,0.13,4,2022,2,False,0.0,4.343805421853684,3.044522437723423
Search,0.0,1,2022,1,False,0.0,0.6931471805599453,0.0
Search,132.39,3,2021,1,False,6.113682179832232,9.428109506952937,0.0
Search,0.62,10,2021,4,False,3.367295829986474,8.245909264774093,0.0
Search,36.0,10,2020,4,False,4.5217885770490405,7.303843225277705,0.0
Smart,0.05,4,2022,2,False,1.0986122886681098,5.605802066295998,0.0
Display,98.96,2,2021,1,False,1.6082371918575815,12.511647434323509,0.0
Video,10.95,11,2020,4,False,5.455321115357702,9.752373922866367,1.5532907518110994
Smart,0.46,5,2022,2,False,1.9459101490553132,5.75890177387728,0.0
Search,102.14,6,2021,2,False,4.859812404361672,8.60611940061064,0.0
Search,39.57,10,2020,4,False,4.983606621708336,7.677400430514807,0.0
Display,15.87,7,2021,3,False,6.309918278226516,10.555708566483428,0.0
Search,2.07,5,2021,2,False,2.4849066497880004,3.4965075614664802,0.0
