sector,amount,objective,end_month,end-year,end_quarter,start_month,start_year,start_quarter,Is_Weekend,result,reach,impressions
Ecommerce & Retail,44.73,post engagement,11,2020,4,11,2020,4,False,11.568388553669374,11.731619130210808,12.359630292405289
Ecommerce & Retail,22.0,Messages,10,2021,4,9,2021,3,False,3.5263605246161616,8.997889450200717,9.749111847392573
Ecommerce & Retail,7.05,post engagement,9,2021,3,9,2021,3,False,8.751790892775563,10.45834920029173,10.742443573468288
B2B,113.37,lead generation,2,2022,1,2,2022,1,False,3.871201010907891,10.324596324632314,10.903439054380268
Ecommerce & Retail,6.37,post engagement,5,2020,2,5,2020,2,False,6.111467339502679,9.23824732522919,9.667765219015058
Ecommerce & Retail,18.59,Traffic,5,2021,2,5,2021,2,False,6.398594934535208,10.184484831459187,11.240709834752362
B2B,31.76,pages likes,2,2022,1,2,2022,1,False,5.723585101952381,9.015905747298426,9.652073119254888
Ecommerce & Retail,14.59,post engagement,1,2022,1,12,2021,4,False,6.214608098422191,9.489561753510097,9.836599606994497
Travel,1.59,Messages,12,2018,4,12,2018,4,False,2.772588722239781,8.500047032581268,8.61558951327243
Ecommerce & Retail,6.0,Traffic,8,2021,3,8,2021,3,True,4.68213122712422,9.557964480394498,9.76927021041632
Ecommerce & Retail,10.0,post engagement,4,2021,2,4,2021,2,False,7.307202314764738,9.491979220880678,9.836546146782247
B2B,116.15,lead generation,5,2020,2,5,2020,2,False,4.204692619390966,11.098636541252267,12.207137078820002
Ecommerce & Retail,26.9,post engagement,4,2020,2,4,2020,2,True,7.118826249062078,10.486177920013498,11.317688866909027
B2B,13.43,post engagement,11,2020,4,11,2020,4,True,5.75890177387728,9.167537249650874,10.044075240845775
Ecommerce & Retail,73.51,Messages,2,2022,1,2,2022,1,False,4.8283137373023015,10.332245920613584,10.97167499739026
Ecommerce & Retail,10.0,post engagement,1,2021,1,1,2021,1,False,7.650168700845001,9.973246796950981,10.26053242804174
B2B,15.8,lead generation,6,2020,2,6,2020,2,False,0.6931471805599453,9.83889569664295,10.15405169942633
Ecommerce & Retail,126.09,Messages,5,2022,2,5,2022,2,True,5.7899601708972535,11.514204646468608,12.213246849278175
Ecommerce & Retail,117.04,CONVERSIONS,6,2021,2,5,2021,2,False,8.105005537547246,12.58480698207904,13.818003448129964
Ecommerce & Retail,50.75,CONVERSIONS,3,2022,1,3,2022,1,False,1.0986122886681098,10.55396206880912,11.323240867399685
Ecommerce & Retail,0.35,post engagement,6,2020,2,6,2020,2,False,1.6094379124341003,6.7661917146603505,6.778784897685177
Ecommerce & Retail,43.86,Traffic,1,2021,1,1,2021,1,False,8.782015969721936,10.645781976362318,11.034131312034901
Automotive,20.12,lead generation,4,2022,2,4,2022,2,False,4.219507705176107,9.898525260706313,10.412231010097795
Ecommerce & Retail,10.0,post engagement,3,2021,1,3,2021,1,False,7.161622002939187,9.38328476695754,9.647304147143718
Travel,50.0,post engagement,10,2019,4,10,2019,4,False,7.982757702011113,10.875799385088063,11.370151490978774
Ecommerce & Retail,21.27,post engagement,1,2022,1,12,2021,4,False,9.247347097605278,10.948716645194592,11.41438607688055
B2B,39.29,lead generation,8,2020,3,8,2020,3,False,4.127134385045092,9.983268687540978,10.756327171829666
Ecommerce & Retail,37.0,Traffic,3,2020,1,3,2020,1,True,5.393627546352362,9.288134399416203,9.450773591827353
Ecommerce & Retail,102.63,post engagement,12,2020,4,11,2020,4,False,9.698429468768303,11.484371657552167,12.484987649297908
Travel,208.7,post engagement,2,2022,1,1,2022,1,True,12.984888218345985,12.698491906768492,14.059207826984649
Ecommerce & Retail,6.02,post engagement,4,2021,2,3,2021,1,False,6.669498089857879,8.610319169405722,9.018210874191142
Ecommerce & Retail,62.89,CONVERSIONS,4,2022,2,4,2022,2,False,2.833213344056216,10.761195326977985,11.673282559385532
Ecommerce & Retail,10.0,Messages,7,2021,3,7,2021,3,False,2.5649493574615367,8.46611040118692,8.902863672196222
Ecommerce & Retail,168.0,CONVERSIONS,5,2021,2,5,2021,2,True,5.187385805840755,11.880827152523427,12.864700842463243
Travel,0.24,Messages,7,2020,3,7,2020,3,False,1.0986122886681098,6.415096959171596,6.46302945692067
Travel,47.8,post engagement,7,2021,3,7,2021,3,False,11.381392075008378,11.896949003449663,12.278895506567935
Ecommerce & Retail,342.86,pages likes,9,2021,3,7,2021,3,False,8.583355393669907,11.010894388885733,11.948091760004763
Ecommerce & Retail,18.0,Messages,8,2021,3,8,2021,3,False,3.091042453358316,10.069383274248214,10.288103485908332
Ecommerce & Retail,26.59,Traffic,12,2021,4,11,2021,4,False,5.5053315359323625,8.911529941736559,9.20552881497896
Ecommerce & Retail,93.81,CONVERSIONS,7,2021,3,7,2021,3,False,1.791759469228055,11.548167118308434,12.349791964542186
Ecommerce & Retail,83.7,CONVERSIONS,3,2022,1,3,2022,1,False,4.30406509320417,10.500591784882543,12.141070016711291
Ecommerce & Retail,10.0,post engagement,3,2021,1,3,2021,1,True,7.539027055823995,9.780698256443507,10.063691304076464
Ecommerce & Retail,0.66,post engagement,4,2021,2,4,2021,2,False,4.330733340286331,6.583409222158765,6.62273632394984
Ecommerce & Retail,14.0,post engagement,2,2022,1,2,2022,1,True,6.498282149476434,8.307212626628308,8.823058934301647
Travel,0.96,Traffic,2,2019,1,2,2019,1,False,3.8918202981106265,8.484669999710677,8.499640032168648
Ecommerce & Retail,11.97,Traffic,8,2021,3,8,2021,3,False,4.804021044733257,9.429556219952412,9.660651367876183
Ecommerce & Retail,4.41,post engagement,11,2020,4,10,2020,4,False,4.406719247264253,8.899457906353966,9.074062353683555
Travel,396.57,post engagement,10,2021,4,9,2021,3,False,9.76663636978693,13.165654640769413,14.177831533029824
Ecommerce & Retail,347.07,CONVERSIONS,5,2022,2,4,2022,2,True,3.367295829986474,12.12755419225711,13.516607093870372
Ecommerce & Retail,112.09,Traffic,12,2020,4,12,2020,4,False,8.525756422076725,12.308223014175107,12.925496549168338
Travel,50.0,post engagement,11,2019,4,11,2019,4,True,8.393442383980062,11.227693721342597,11.78679254838828
Travel,105.85,Traffic,5,2022,2,5,2022,2,False,6.597145701886651,10.232251585714021,10.643756840164809
Ecommerce & Retail,7.32,post engagement,4,2022,2,4,2022,2,True,7.643003635560718,9.503457646917903,9.824119617152556
Ecommerce & Retail,4.62,Messages,1,2022,1,1,2022,1,True,1.0986122886681098,8.61974977974133,8.729558869558568
Ecommerce & Retail,6.81,post engagement,5,2021,2,5,2021,2,True,3.8918202981106265,8.311889558230359,8.688959234270676
Ecommerce & Retail,2.54,Messages,5,2022,2,5,2022,2,False,1.0986122886681098,6.492239835020471,6.543911845564792
Ecommerce & Retail,7.08,post engagement,12,2021,4,12,2021,4,False,6.7912214627261855,9.448648359810164,9.980170777307086
Ecommerce & Retail,205.84,Messages,4,2022,2,3,2022,1,False,4.418840607796598,11.859425822912488,12.255000895403432
Ecommerce & Retail,13.35,post engagement,3,2022,1,3,2022,1,False,7.798112628829788,10.200959051807608,10.671487070998001
Ecommerce & Retail,12.0,Traffic,11,2021,4,11,2021,4,True,4.634728988229636,9.549665677579801,10.098149321414688
Travel,2.11,post engagement,7,2019,3,7,2019,3,False,6.5337888379333435,9.210140351973516,9.429877427696281
Ecommerce & Retail,20.0,post engagement,4,2022,2,4,2022,2,False,8.646641258603124,10.79648918643233,10.984377049549666
B2B,83.12,lead generation,9,2020,3,9,2020,3,False,2.6390573296152584,10.804766164289779,11.665071279254121
Ecommerce & Retail,12.0,Traffic,11,2021,4,11,2021,4,False,5.081404364984463,8.60611940061064,8.884333185202735
Automotive,121.37,post engagement,4,2022,2,3,2022,1,False,9.118225083068378,12.246537776382164,12.907026772426056
Ecommerce & Retail,18.0,Traffic,12,2021,4,12,2021,4,False,5.4116460518550396,10.404111313817522,10.824288099888111
Ecommerce & Retail,59.71,CONVERSIONS,9,2021,3,8,2021,3,False,1.791759469228055,10.777204756851221,11.774189123993686
Automotive,38.32,post engagement,1,2022,1,1,2022,1,False,11.04866531035156,11.248556191815522,11.508154100091337
Travel,75.99,post engagement,6,2021,2,6,2021,2,False,8.649098262296176,11.995067623275627,12.391514329660373
Ecommerce & Retail,12.0,Messages,8,2021,3,8,2021,3,False,2.0794415416798357,9.757362911053992,10.148275171908208
Ecommerce & Retail,74.64,Traffic,5,2020,2,5,2020,2,False,8.88875674784872,12.089094910532157,12.951503879513806
Ecommerce & Retail,18.17,post engagement,8,2021,3,8,2021,3,False,4.61512051684126,9.115260165725912,10.21269870228773
Ecommerce & Retail,16.71,post engagement,11,2020,4,11,2020,4,False,5.19295685089021,9.946977983610656,10.095553148279476
Ecommerce & Retail,12.0,Traffic,11,2021,4,11,2021,4,True,5.501258210544727,10.023268590855185,10.543576724621428
Automotive,95.27,pages likes,4,2022,2,4,2022,2,False,6.842683282238422,10.882734304052615,11.727762613440863
Automotive,260.02,Traffic,7,2021,3,7,2021,3,False,8.429235912657095,12.673967803511806,13.25757236208409
Ecommerce & Retail,78.41,lead generation,5,2022,2,5,2022,2,False,4.653960350157523,10.909125265086246,12.008011874583428
Ecommerce & Retail,59.26,post engagement,6,2020,2,6,2020,2,False,6.9167150203536085,10.528596762688789,11.389084114729881
Ecommerce & Retail,6.0,Traffic,11,2020,4,11,2020,4,False,5.981414211254481,10.101395343782077,10.4889381576407
Ecommerce & Retail,15.0,Traffic,11,2020,4,11,2020,4,False,7.658227526161352,11.14958550191271,11.77816252209149
Ecommerce & Retail,10.0,post engagement,7,2021,3,7,2021,3,True,7.425953657077541,10.050570457237374,10.30501157141103
Ecommerce & Retail,31.11,post engagement,10,2021,4,9,2021,3,False,8.876823763180603,11.193697684352662,11.815308940274901
Automotive,23.81,post engagement,5,2022,2,5,2022,2,True,10.874417973368606,11.054834596188103,11.40183746744634
Ecommerce & Retail,1.26,post engagement,3,2022,1,3,2022,1,False,6.51471269087253,8.727616178321068,8.754476306284166
Ecommerce & Retail,58.75,lead generation,12,2020,4,11,2020,4,False,2.9444389791664403,9.804992305787028,10.726170654445108
Ecommerce & Retail,22.0,post engagement,10,2021,4,9,2021,3,True,11.076201860959292,11.189989202301655,11.547674657297048
Ecommerce & Retail,19.99,Traffic,10,2021,4,10,2021,4,False,6.988413181999592,11.507148812192774,11.85603278352742
Travel,169.05,Messages,11,2021,4,10,2021,4,True,5.717027701406222,10.962527066084414,12.06023729730663
Ecommerce & Retail,66.8,pages likes,10,2021,4,10,2021,4,False,6.57507584059962,10.612557293639888,10.984088608402386
Ecommerce & Retail,12.3,Traffic,5,2021,2,5,2021,2,True,5.808142489980444,10.675469018613882,10.890534932861083
Ecommerce & Retail,94.04,CONVERSIONS,5,2022,2,5,2022,2,False,4.1588830833596715,11.050524859350896,12.595028895922587
Ecommerce & Retail,237.86,CONVERSIONS,4,2022,2,4,2022,2,False,4.90527477843843,11.462316147143687,13.338014933680235
Ecommerce & Retail,82.47,CONVERSIONS,3,2022,1,2,2022,1,False,1.0986122886681098,11.305089157723167,12.142861243380505
Ecommerce & Retail,71.9,CONVERSIONS,8,2021,3,7,2021,3,False,0.6931471805599453,10.772959176432687,11.755950071877587
Ecommerce & Retail,239.6,pages likes,5,2022,2,5,2022,2,True,7.544861068658458,11.673963798927177,12.501693125283476
Ecommerce & Retail,25.1,lead generation,4,2022,2,3,2022,1,False,1.0986122886681098,8.460199469896118,8.895903562215581
Ecommerce & Retail,5.46,post engagement,10,2021,4,10,2021,4,False,5.327876168789581,8.451907724717607,8.677609912822142
Ecommerce & Retail,12.38,Traffic,10,2021,4,10,2021,4,False,8.080237416216702,9.864174835150587,10.16411954826133
Ecommerce & Retail,10.0,post engagement,3,2021,1,3,2021,1,False,7.440733707389261,9.798904512343688,10.063222610657286
Travel,9.41,post engagement,2,2019,1,2,2019,1,False,6.408528791059498,9.618535084655214,9.860684430210819
Ecommerce & Retail,2.45,post engagement,7,2020,3,6,2020,2,False,4.3694478524670215,8.665785595466064,8.705165419719007
Ecommerce & Retail,6.0,Traffic,10,2021,4,10,2021,4,False,4.74493212836325,9.768755439335086,10.00960278332483
Ecommerce & Retail,38.57,CONVERSIONS,2,2021,1,2,2021,1,False,2.1972245773362196,9.919016354153754,11.125761858031977
Ecommerce & Retail,14.43,Messages,5,2021,2,5,2021,2,True,3.1354942159291497,9.012011377036412,9.456262510179732
Ecommerce & Retail,128.69,CONVERSIONS,11,2021,4,11,2021,4,False,2.302585092994046,11.158989623405995,12.022149807369246
Ecommerce & Retail,25.27,post engagement,12,2021,4,12,2021,4,False,7.215239978730097,9.347838885161817,9.592536853144992
Travel,158.93,post engagement,6,2021,2,6,2021,2,False,8.707978826622321,11.416062079566348,12.227359464985712
Automotive,126.17,Traffic,5,2022,2,4,2022,2,False,9.047115310873217,12.556169501208759,13.63349455448415
Ecommerce & Retail,40.36,pages likes,9,2021,3,9,2021,3,True,7.327123292259293,10.30337044234806,10.67099981505138
Automotive,2.39,post engagement,8,2021,3,8,2021,3,False,4.68213122712422,7.326465613840322,7.352441100243583
Ecommerce & Retail,12.0,Traffic,1,2021,1,1,2021,1,False,6.489204931325317,9.31461029315198,9.482502632769927
Travel,105.91,post engagement,9,2021,3,8,2021,3,False,8.427924723658055,12.073135362102112,12.832438792399769
Automotive,7.08,lead generation,2,2022,1,2,2022,1,False,1.0986122886681098,7.88344635413774,7.944492163932159
Travel,11.46,post engagement,11,2021,4,11,2021,4,False,5.948034989180646,9.941024156064854,9.969415732650235
Ecommerce & Retail,4.19,pages likes,11,2020,4,10,2020,4,False,3.4965075614664802,7.762596048540069,7.946263643580541
Ecommerce & Retail,39.44,Traffic,5,2020,2,5,2020,2,False,8.25582842728183,11.245634082166182,12.121418488114221
Travel,7.97,Messages,1,2022,1,1,2022,1,False,2.1972245773362196,8.589699882202986,8.816853240627426
Ecommerce & Retail,10.0,Messages,2,2021,1,2,2021,1,False,1.0986122886681098,9.05998249038762,9.47324295306374
Travel,90.51,post engagement,12,2018,4,12,2018,4,False,8.459987717645458,11.752257276480963,12.577949945843345
Ecommerce & Retail,22.06,Messages,4,2020,2,3,2020,1,False,4.890349128221754,11.94210709969571,12.364844061863868
Ecommerce & Retail,23.13,post engagement,11,2020,4,11,2020,4,False,5.720311776607412,10.165890277802454,10.367630290261705
Ecommerce & Retail,0.18,post engagement,8,2021,3,8,2021,3,False,1.3862943611198906,5.62040086571715,5.6240175061873385
Ecommerce & Retail,2.37,post engagement,7,2020,3,6,2020,2,False,4.430816798843313,8.628913441026645,8.659213451436667
Ecommerce & Retail,10.0,post engagement,4,2021,2,3,2021,1,False,7.294377299288821,8.874867635688053,9.396902923027392
Travel,41.65,Messages,12,2021,4,11,2021,4,False,3.7376696182833684,9.882314987303326,10.572674976900842
Ecommerce & Retail,2.77,post engagement,6,2021,2,6,2021,2,False,5.209486152841421,8.451480648050856,8.478452363099807
Ecommerce & Retail,48.32,CONVERSIONS,5,2022,2,5,2022,2,True,1.9459101490553132,9.960859832393998,11.360519928161361
Ecommerce & Retail,6.78,CONVERSIONS,10,2021,4,9,2021,3,False,3.1780538303479458,8.368693183097793,9.375006993531416
Ecommerce & Retail,141.72,CONVERSIONS,3,2022,1,3,2022,1,False,1.9459101490553132,10.968491350030408,12.225635047896224
Travel,2.4,post engagement,7,2019,3,7,2019,3,False,5.855071922202427,8.470101583882387,8.57602797713713
Ecommerce & Retail,12.0,Messages,8,2021,3,8,2021,3,False,1.6094379124341003,10.048756045127371,10.335464755184402
Ecommerce & Retail,57.67,lead generation,3,2022,1,3,2022,1,False,4.07753744390572,10.94646379738255,11.617546707432952
Ecommerce & Retail,35.6,CONVERSIONS,5,2022,2,4,2022,2,False,2.1972245773362196,10.486401252696373,11.050778888089262
Automotive,18.0,post engagement,6,2021,2,6,2021,2,False,9.48668339975797,9.587200223074012,10.797778044130617
Ecommerce & Retail,7.48,post engagement,9,2021,3,9,2021,3,False,10.05993559141207,10.304442505166406,10.677200380935641
Ecommerce & Retail,283.71,CONVERSIONS,2,2022,1,1,2022,1,True,3.1780538303479458,12.308376494338097,13.349068578507092
Ecommerce & Retail,10.0,post engagement,3,2021,1,3,2021,1,True,6.683360945766275,8.909640602443098,9.253304071408298
Automotive,32.47,post engagement,1,2022,1,1,2022,1,False,7.297091005160418,10.36879266100031,10.78702779414709
Travel,162.85,post engagement,1,2022,1,1,2022,1,False,10.050225108647712,12.684444290071399,13.599032244518826
Automotive,83.83,Traffic,6,2021,2,6,2021,2,False,8.843037724962366,12.21150287511004,12.867698198767163
Ecommerce & Retail,11.41,lead generation,3,2022,1,2,2022,1,False,1.0986122886681098,9.068661593644245,9.37940781309172
Ecommerce & Retail,24.88,post engagement,4,2020,2,4,2020,2,False,7.072421900537371,10.039459714059342,11.480588206391257
Ecommerce & Retail,2.65,post engagement,10,2021,4,10,2021,4,True,4.430816798843313,7.124478262493424,7.166265974133638
Ecommerce & Retail,5.44,post engagement,10,2021,4,10,2021,4,False,5.793013608384144,8.948975607841776,9.205428327615163
Ecommerce & Retail,7.48,post engagement,9,2021,3,9,2021,3,False,6.616065185132817,8.871084263978354,9.414994033976548
Travel,110.16,post engagement,2,2022,1,2,2022,1,False,12.440156136882718,12.646447907614782,13.009037892092206
Ecommerce & Retail,16.0,post engagement,5,2019,2,5,2019,2,True,7.3783837129967145,10.660946666064484,10.928453301035939
Travel,35.0,post engagement,1,2019,1,12,2018,4,False,8.200288260287554,11.052555284692732,11.426539347010879
Ecommerce & Retail,43.37,Traffic,6,2020,2,6,2020,2,False,6.825460036255307,9.647368744540465,11.302364914603979
Ecommerce & Retail,15.0,Messages,1,2021,1,1,2021,1,False,3.258096538021482,9.528939547062684,10.123064751970729
Ecommerce & Retail,28.4,Traffic,6,2022,2,5,2022,2,False,7.387090235656757,11.538992742032393,12.28055840345672
Ecommerce & Retail,12.0,Traffic,7,2021,3,7,2021,3,False,5.58724865840025,8.503297086224126,8.664405571096625
Ecommerce & Retail,12.29,pages likes,3,2022,1,3,2022,1,False,5.313205979041787,8.753213480544126,8.975756630519417
Ecommerce & Retail,4.29,CONVERSIONS,5,2022,2,5,2022,2,False,0.6931471805599453,8.965590066907914,9.11382947159534
Ecommerce & Retail,5.84,Traffic,11,2021,4,10,2021,4,True,2.302585092994046,6.597145701886651,6.641182169740591
Automotive,18.49,lead generation,4,2021,2,4,2021,2,False,3.5553480614894135,9.320897362540826,9.40351943877092
Ecommerce & Retail,10.72,Messages,1,2022,1,1,2022,1,False,2.833213344056216,8.351138607086154,8.71768205216564
B2B,49.3,lead generation,5,2022,2,2,2022,1,False,3.6109179126442243,9.82140944150052,10.341387581787455
Travel,31.43,post engagement,6,2021,2,6,2021,2,False,7.007600613951853,10.47132657962855,10.590918426099964
Ecommerce & Retail,30.0,post engagement,5,2021,2,5,2021,2,False,11.151223621603087,11.700043831986005,12.183867935541981
Ecommerce & Retail,15.0,post engagement,1,2021,1,1,2021,1,False,8.215006432761575,9.871687239986331,10.230666742245749
Ecommerce & Retail,39.91,Traffic,3,2021,1,3,2021,1,False,7.8636512654486515,11.529113725166752,12.586541261547934
Ecommerce & Retail,179.94,pages likes,5,2019,2,4,2019,2,False,5.135798437050262,7.935945103353701,8.098642843759418
Ecommerce & Retail,13.15,post engagement,5,2021,2,5,2021,2,True,6.489204931325317,8.797095076549056,8.97335141383992
Ecommerce & Retail,46.93,post engagement,10,2020,4,10,2020,4,False,7.311218384419629,10.524279070903933,11.319340715897564
Ecommerce & Retail,25.45,Messages,5,2021,2,4,2021,2,False,2.9444389791664403,9.166910814048848,9.90733016025358
Travel,7.97,Messages,1,2022,1,1,2022,1,False,2.1972245773362196,8.589699882202986,8.816853240627426
Ecommerce & Retail,142.44,CONVERSIONS,5,2021,2,4,2021,2,False,1.3862943611198906,11.181180039355397,12.2855675108578
Ecommerce & Retail,9.07,post engagement,4,2021,2,4,2021,2,True,7.051855622955894,9.205930663487482,9.494240301132503
Ecommerce & Retail,20.0,post engagement,5,2022,2,4,2022,2,False,8.975124239427704,11.40775382036403,11.806445463522216
Travel,101.69,post engagement,12,2018,4,12,2018,4,False,8.47261414801827,11.580060611955066,11.998833200773257
Ecommerce & Retail,0.17,post engagement,2,2021,1,2,2021,1,False,2.8903717578961645,5.983936280687191,5.986452005284438
Ecommerce & Retail,6.89,post engagement,10,2020,4,10,2020,4,False,5.736572297479192,9.794620897549015,9.986403052863436
Ecommerce & Retail,15.06,post engagement,7,2021,3,7,2021,3,True,6.385194398997726,9.171495588152615,9.39099387166944
Ecommerce & Retail,45.14,Messages,4,2020,2,4,2020,2,False,6.073044534100405,11.332853376224865,12.091716232291692
Ecommerce & Retail,81.23,post engagement,11,2021,4,11,2021,4,False,7.767263996757308,11.166554396169769,12.157066207975339
Ecommerce & Retail,17.57,post engagement,9,2020,3,9,2020,3,False,7.149916836132109,9.759905824058103,10.284181711652371
Travel,85.32,post engagement,6,2021,2,6,2021,2,False,11.565707650409198,11.65610763863686,12.034049873723678
Ecommerce & Retail,8.54,post engagement,5,2020,2,5,2020,2,False,5.247024072160486,9.295783853793651,9.565774546478782
Ecommerce & Retail,15.06,post engagement,11,2020,4,11,2020,4,False,5.3612921657094255,10.018644921923576,10.147961974552167
Travel,1.17,post engagement,12,2018,4,12,2018,4,False,7.80994708647679,8.79527937019457,8.82864061741828
Ecommerce & Retail,40.0,Traffic,6,2021,2,6,2021,2,False,8.000349495324684,12.262996309596328,13.024946780660716
Ecommerce & Retail,14.0,post engagement,3,2021,1,3,2021,1,True,8.958925938694943,10.991729588863048,11.263771558223787
Travel,4.08,Messages,12,2018,4,12,2018,4,False,2.995732273553991,9.163248764442333,9.224046019032295
Ecommerce & Retail,336.96,CONVERSIONS,5,2022,2,4,2022,2,False,5.056245805348308,11.326704314635162,13.558748173626388
Ecommerce & Retail,5.37,post engagement,9,2021,3,9,2021,3,False,7.288927694521257,9.382022193665792,9.594922269167922
Ecommerce & Retail,5.0,post engagement,6,2021,2,6,2021,2,False,6.762729506931879,9.066239028001926,9.257414779362112
Ecommerce & Retail,19.45,post engagement,6,2021,2,6,2021,2,False,6.124683390894205,9.486152271857476,9.921916688004496
Ecommerce & Retail,12.94,post engagement,7,2021,3,7,2021,3,True,7.403061091090091,10.182973629388371,10.634219493423345
Ecommerce & Retail,11.36,post engagement,10,2019,4,10,2019,4,True,5.905361848054571,9.98345333417401,10.71237123157867
Ecommerce & Retail,164.99,Messages,5,2022,2,3,2022,1,True,6.29156913955832,11.69258514878837,12.505751221322374
Ecommerce & Retail,5.64,post engagement,10,2020,4,10,2020,4,False,6.194405391104672,9.495594499353297,9.658801110545443
Ecommerce & Retail,36.52,Traffic,10,2021,4,10,2021,4,False,7.538494999413465,10.979973516212516,11.22895649043033
Automotive,38.39,Traffic,10,2021,4,10,2021,4,False,8.193676665955241,10.784006018522135,11.370059209196285
Ecommerce & Retail,22.95,post engagement,5,2021,2,4,2021,2,False,10.989132797979813,11.52508128274024,11.842919621207626
Travel,158.71,post engagement,1,2022,1,1,2022,1,False,9.979522238812125,13.072035932223702,13.870372726338253
Travel,167.32,Traffic,11,2021,4,10,2021,4,True,9.16837188715368,12.644788760422237,13.68517405623627
Ecommerce & Retail,35.31,post engagement,4,2020,2,4,2020,2,False,10.492356964389485,11.481073535521046,12.395299472639806
Ecommerce & Retail,11.42,Traffic,12,2021,4,12,2021,4,False,4.219507705176107,7.938445551164788,8.144098463338524
Ecommerce & Retail,6.0,Traffic,8,2021,3,8,2021,3,True,5.564520407322694,10.184145010050944,10.460442661144333
Ecommerce & Retail,63.12,post engagement,7,2020,3,6,2020,2,True,6.96979066990159,10.82139697362574,11.63551471005398
Travel,20.0,Messages,12,2018,4,12,2018,4,False,5.278114659230517,10.898996036516913,11.29260293084272
Automotive,50.72,Traffic,7,2021,3,7,2021,3,False,7.961370201719511,11.875573534224422,12.730496394296587
Ecommerce & Retail,6.29,post engagement,5,2020,2,5,2020,2,False,6.558197802812269,9.690356211348643,9.842675413139371
Travel,56.39,post engagement,7,2021,3,6,2021,2,False,11.862948332828584,12.017342598155052,12.759799700289019
Ecommerce & Retail,16.54,pages likes,11,2021,4,11,2021,4,False,4.859812404361672,9.306468399070404,9.439306936593182
Ecommerce & Retail,511.0,Messages,2,2022,1,1,2022,1,True,5.267858159063328,11.129979878291934,11.945123379480066
Ecommerce & Retail,5.99,Traffic,8,2021,3,8,2021,3,False,4.23410650459726,8.963288275610298,9.141847375530883
Ecommerce & Retail,20.0,Messages,2,2021,1,2,2021,1,False,3.4965075614664802,8.927048647825695,9.68700923909068
Automotive,38.37,post engagement,8,2021,3,8,2021,3,False,7.684783943522785,10.69758805131066,11.293636973355513
Ecommerce & Retail,20.0,Traffic,1,2021,1,1,2021,1,False,6.690842277418564,11.322043371112159,12.01233618592092
Ecommerce & Retail,20.0,post engagement,12,2021,4,12,2021,4,False,7.777373602657861,10.062924236792623,10.824427460224394
B2B,1.27,Traffic,9,2020,3,9,2020,3,False,4.007333185232471,8.646992628951082,8.74321260347591
Ecommerce & Retail,5.94,Messages,7,2021,3,7,2021,3,False,0.6931471805599453,8.608677881538416,8.922791623969637
Travel,152.34,Messages,10,2021,4,10,2021,4,False,5.389071729816501,12.43299305552588,13.03321080059071
Travel,1.78,pages likes,12,2019,4,12,2019,4,False,3.871201010907891,7.705262474866325,7.710653323501202
Travel,140.21,Traffic,1,2022,1,11,2021,4,False,9.275472466913964,12.98754658758211,14.281570169788269
Ecommerce & Retail,234.65,Traffic,12,2021,4,12,2021,4,False,8.873047798971067,12.122006019411725,12.898439521731843
Travel,27.8,Messages,2,2019,1,2,2019,1,False,4.770684624465665,11.082773119257247,11.652800444434716
Ecommerce & Retail,15.0,Traffic,11,2020,4,11,2020,4,False,6.779921907472252,11.232377881419048,11.678117817685447
Ecommerce & Retail,60.01,post engagement,7,2019,3,7,2019,3,False,7.9229859587111955,10.931605843591019,11.778262230253453
B2B,146.96,lead generation,4,2019,2,4,2019,2,False,2.9444389791664403,10.624395803881464,11.948777511285073
Automotive,51.51,lead generation,1,2022,1,1,2022,1,False,2.5649493574615367,8.253748343328501,8.327967858305488
B2B,283.21,lead generation,3,2022,1,12,2021,4,True,4.5217885770490405,11.46121102928355,12.17574229572234
Ecommerce & Retail,34.89,Traffic,6,2021,2,6,2021,2,False,8.494538500851432,12.30964856975153,13.112199903837867
B2B,13.88,post engagement,10,2020,4,9,2020,3,False,6.272877006546167,9.282009658666542,9.411974239802511
Ecommerce & Retail,11.86,Messages,4,2020,2,4,2020,2,True,4.418840607796598,9.996294602122335,10.521156591920116
Ecommerce & Retail,6.0,Traffic,10,2021,4,10,2021,4,False,4.890349128221754,9.398892478520773,9.593150789519541
Ecommerce & Retail,10.0,Traffic,2,2021,1,2,2021,1,False,7.57353126274595,11.227826719520717,11.508967643115884
Ecommerce & Retail,121.11,Traffic,8,2021,3,8,2021,3,False,8.112227958349724,11.745916371538772,13.51403242263566
Automotive,28.26,CONVERSIONS,3,2022,1,3,2022,1,True,1.791759469228055,9.7611172112444,10.167581090179292
Ecommerce & Retail,35.5,Traffic,3,2020,1,3,2020,1,False,5.484796933490655,9.154298981092557,9.378478484253662
Automotive,151.48,Traffic,9,2021,3,9,2021,3,False,8.839421607620602,11.753004792990641,13.840340722069612
Travel,66.07,post engagement,2,2019,1,2,2019,1,False,8.150467911624004,11.305987392690444,11.93791211512218
Ecommerce & Retail,349.05,Traffic,12,2021,4,11,2021,4,False,9.262268464836541,12.460431878130624,13.352110675903093
Ecommerce & Retail,87.25,post engagement,1,2021,1,1,2021,1,False,6.890609120147166,11.062143902371083,11.78947328100547
Ecommerce & Retail,4.29,post engagement,10,2020,4,9,2020,3,False,5.438079308923196,8.790573479157159,8.795127912413138
Ecommerce & Retail,23.26,Messages,4,2020,2,4,2020,2,True,4.499809670330265,10.547680805518146,11.312484743062132
