sector,amount,objective,end_month,end-year,end_quarter,start_month,start_year,start_quarter,Is_Weekend,result,reach,impressions
Ecommerce & Retail,36.23,post engagement,5,2021,2,5,2021,2,True,8.408939605975984,10.347467996872627,10.972636701053597
Ecommerce & Retail,24.85,Traffic,4,2020,2,4,2020,2,False,7.171656822768514,10.887249999525295,11.383943707044278
Automotive,1.64,post engagement,10,2021,4,10,2021,4,True,7.6624678152002375,8.269500767180615,8.37930948405285
B2B,27.24,lead generation,8,2021,3,8,2021,3,False,3.784189633918261,8.94494150776486,9.25502688959859
Automotive,44.57,Traffic,10,2021,4,10,2021,4,False,7.768533300926033,11.387112777774695,12.292392533496367
Ecommerce & Retail,15.98,CONVERSIONS,4,2022,2,4,2022,2,False,1.3862943611198906,9.737964114018055,10.113018876430475
B2B,161.26,lead generation,2,2022,1,2,2022,1,True,4.564348191467836,10.722033142490407,11.225976457094276
Ecommerce & Retail,14.21,post engagement,9,2020,3,9,2020,3,False,5.961005339623274,9.14216859187285,10.0488425203955
Ecommerce & Retail,24.0,Traffic,12,2021,4,11,2021,4,True,4.007333185232471,7.7102051944325325,7.922261058353247
Travel,49.7,post engagement,6,2021,2,6,2021,2,False,7.198183577101943,11.412043793188975,11.506706165156311
Ecommerce & Retail,84.09,post engagement,2,2021,1,2,2021,1,True,6.877296071497429,11.001583041019357,11.155092708167645
Travel,32.07,post engagement,6,2021,2,6,2021,2,False,6.893656354602635,10.65225863684407,10.766335312700145
Travel,106.18,Traffic,5,2022,2,5,2022,2,False,5.991464547107982,9.904986428659864,10.3974213086319
Ecommerce & Retail,2.67,post engagement,8,2021,3,8,2021,3,False,5.60947179518496,8.585972706811063,8.769196271411001
Ecommerce & Retail,5.43,Messages,5,2022,2,5,2022,2,True,3.091042453358316,9.172534657240284,9.266153436795395
Ecommerce & Retail,31.43,CONVERSIONS,7,2021,3,7,2021,3,False,9.100860271357362,11.60780828074028,12.372565418841441
Ecommerce & Retail,102.1,Traffic,12,2021,4,11,2021,4,False,7.649216319820633,11.566504145871457,12.433837502144899
B2B,43.76,lead generation,11,2020,4,11,2020,4,False,3.4339872044851463,9.925933741365958,10.59805871874709
Ecommerce & Retail,49.62,post engagement,1,2021,1,1,2021,1,True,7.768110378525988,10.988372720584238,11.639699075131372
Travel,38.74,Messages,6,2019,2,6,2019,2,False,4.454347296253507,10.47517306455888,11.155435903606515
Ecommerce & Retail,16.36,post engagement,5,2021,2,5,2021,2,True,4.820281565605037,8.960210955576986,9.514953305087944
Ecommerce & Retail,44.62,post engagement,1,2021,1,1,2021,1,True,6.825460036255307,10.81719495047468,11.336927869712962
Travel,90.48,Traffic,9,2021,3,9,2021,3,False,6.977281341630747,12.76921364118451,13.51012062266448
B2B,28.77,lead generation,2,2022,1,2,2022,1,True,2.0794415416798357,9.103979355984773,9.142810715182584
Ecommerce & Retail,22.58,post engagement,11,2021,4,11,2021,4,False,7.035268599281097,9.523032079931992,9.93677725040077
Ecommerce & Retail,14.29,post engagement,4,2021,2,4,2021,2,False,6.852242569051878,8.612685172875459,9.33485624667375
Travel,347.71,post engagement,9,2021,3,9,2021,3,False,9.32250766884693,12.423503912770887,13.688975207297084
Ecommerce & Retail,161.51,CONVERSIONS,5,2021,2,3,2021,1,True,4.418840607796598,11.86060608093938,12.91960561664688
B2B,5.35,lead generation,10,2020,4,10,2020,4,False,0.6931471805599453,7.697121317282625,8.11522197256233
Ecommerce & Retail,47.16,CONVERSIONS,4,2022,2,4,2022,2,False,2.833213344056216,10.476527122708163,11.364239824574028
Ecommerce & Retail,48.57,post engagement,3,2020,1,3,2020,1,False,8.388677769180811,11.504570660587476,11.998611726368024
Ecommerce & Retail,35.37,lead generation,6,2020,2,6,2020,2,False,3.5263605246161616,10.54770705947265,10.882020420873696
Ecommerce & Retail,37.47,post engagement,11,2021,4,11,2021,4,False,10.812511948418237,10.655163041535141,11.152529320229641
Travel,20.0,post engagement,11,2019,4,11,2019,4,True,7.8636512654486515,10.489745271417972,10.848560085835736
Ecommerce & Retail,350.48,Messages,1,2022,1,12,2021,4,False,4.7535901911063645,11.221101493351112,12.519484597303189
Ecommerce & Retail,25.0,Traffic,6,2020,2,6,2020,2,False,6.646390514847729,8.886409166849282,9.265869681768663
Travel,30.62,post engagement,1,2019,1,1,2019,1,True,8.153637486385282,11.20445547998815,11.51709675303904
Ecommerce & Retail,21.93,post engagement,11,2021,4,11,2021,4,False,8.371242135931933,10.622424304782367,11.070941590161643
Ecommerce & Retail,291.2,lead generation,11,2020,4,9,2020,3,False,5.8805329864007,11.927409777498553,13.181516799890492
Ecommerce & Retail,75.21,CONVERSIONS,5,2021,2,4,2021,2,False,2.4849066497880004,9.622847294873393,10.337216125917152
Ecommerce & Retail,1.63,Messages,7,2020,3,7,2020,3,False,4.31748811353631,7.449498005382849,7.449498005382849
Travel,6.41,Traffic,3,2022,1,3,2022,1,False,4.30406509320417,9.53755560876329,9.896865676227241
Travel,288.05,post engagement,12,2021,4,12,2021,4,False,9.267193183568965,12.418963820380032,13.289403769666063
Ecommerce & Retail,28.62,post engagement,11,2020,4,11,2020,4,False,5.905361848054571,10.187500401613525,10.398061835716069
Ecommerce & Retail,217.47,Messages,10,2020,4,9,2020,3,False,6.812345094177479,11.49630815914679,12.281156926653441
Travel,2.64,post engagement,7,2019,3,7,2019,3,False,5.407171771460119,8.478036476215044,8.510772623613315
Ecommerce & Retail,47.73,Traffic,6,2020,2,6,2020,2,False,6.920671504248683,9.409273194575334,11.656809335298806
Automotive,12.9,Traffic,4,2021,2,4,2021,2,False,4.605170185988092,8.128585200374497,8.546169299652755
Travel,33.67,Traffic,5,2022,2,5,2022,2,False,6.380122536899765,11.327667601443988,12.046953811503942
Ecommerce & Retail,25.14,pages likes,3,2022,1,2,2022,1,False,5.799092654460526,9.708749225727084,10.233654236594065
Ecommerce & Retail,3.69,CONVERSIONS,3,2022,1,3,2022,1,False,6.872128101338986,9.695848187757884,9.845699528768733
Ecommerce & Retail,10.0,Traffic,5,2019,2,5,2019,2,True,1.0986122886681098,7.898039690764619,7.90100705199242
Ecommerce & Retail,24.87,post engagement,7,2019,3,7,2019,3,False,7.176254532017144,10.50015136537585,11.025848919375079
Ecommerce & Retail,15.5,post engagement,12,2021,4,11,2021,4,True,6.6039438246004725,9.949034367492098,10.52048236489583
Travel,2.98,Traffic,12,2018,4,12,2018,4,False,5.537334267018537,8.917712757131387,9.000236434169777
Ecommerce & Retail,101.5,CONVERSIONS,3,2022,1,3,2022,1,False,3.912023005428146,10.349230507142863,12.029532345023078
Ecommerce & Retail,18.0,Traffic,12,2021,4,12,2021,4,False,5.648974238161206,10.334360464578825,10.66606750781141
Automotive,707.2,post engagement,7,2021,3,7,2021,3,False,11.82866278270362,12.484473026039959,12.581191941785958
B2B,8.1,lead generation,9,2020,3,9,2020,3,False,1.0986122886681098,8.885855993000296,9.056839480990421
Ecommerce & Retail,30.0,Traffic,1,2021,1,1,2021,1,True,6.665683717782408,10.85799849722998,11.456408022135056
Ecommerce & Retail,31.98,post engagement,10,2020,4,10,2020,4,False,6.437751649736401,10.759454867227179,11.201415072985869
Ecommerce & Retail,6.0,Traffic,10,2021,4,10,2021,4,False,4.61512051684126,9.118553976345474,9.335385860950407
Ecommerce & Retail,21.02,post engagement,4,2020,2,3,2020,1,False,7.328437352895162,11.299546583710931,11.923013205563837
Ecommerce & Retail,14.2,Messages,1,2022,1,1,2022,1,True,2.302585092994046,9.60871372627059,9.844427331406584
Ecommerce & Retail,40.86,post engagement,11,2020,4,11,2020,4,False,6.683360945766275,10.76487849442862,11.504399219625775
Ecommerce & Retail,18.0,Traffic,8,2021,3,8,2021,3,True,5.659482215759621,10.316226144610791,10.764984132323145
Automotive,3.44,post engagement,1,2022,1,1,2022,1,False,8.552174160311482,9.002208578282412,9.063926353520646
Ecommerce & Retail,72.62,CONVERSIONS,3,2021,1,2,2021,1,False,1.0986122886681098,9.824065485558638,11.678456852456709
Ecommerce & Retail,57.01,post engagement,5,2020,2,5,2020,2,True,8.642944396721798,10.85191628193809,11.689656423450938
Ecommerce & Retail,2.25,post engagement,5,2020,2,5,2020,2,False,4.553876891600541,8.069342366811636,8.259975659768276
