sector,amount,objective,end_month,end-year,end_quarter,start_month,start_year,start_quarter,Is_Weekend,result,reach,impressions
Ecommerce & Retail,4.2,post engagement,5,2020,2,5,2020,2,False,4.927253685157205,8.63817111796914,8.959054514715692
Ecommerce & Retail,11.51,Messages,7,2021,3,6,2021,2,True,3.7376696182833684,10.205996659231078,10.497339122000497
Travel,45.92,post engagement,10,2019,4,10,2019,4,False,7.9391588179567965,10.918446456206985,11.204414638934717
Ecommerce & Retail,44.55,pages likes,4,2022,2,4,2022,2,False,6.934397209928558,10.254742836614135,10.596284671831778
Ecommerce & Retail,93.9,pages likes,9,2021,3,9,2021,3,False,7.701200180857446,10.401075949520099,11.452092071362479
Ecommerce & Retail,122.21,pages likes,4,2021,2,4,2021,2,False,8.30795254527102,10.937987895736994,11.990047448509257
Ecommerce & Retail,57.3,post engagement,6,2019,2,5,2019,2,False,7.438971592395862,10.887829379231441,11.601494794388147
Ecommerce & Retail,114.12,lead generation,8,2020,3,7,2020,3,False,5.003946305945459,10.39684143039008,12.14995192839084
Ecommerce & Retail,26.83,post engagement,2,2022,1,2,2022,1,False,11.039154749155248,11.864335573955648,12.188351550342118
Ecommerce & Retail,18.81,post engagement,7,2021,3,6,2021,2,False,6.675823221634848,9.95769160654964,10.30501157141103
Ecommerce & Retail,31.0,Traffic,12,2020,4,12,2020,4,False,7.542213463193403,11.654989104233696,12.017384867282594
Travel,9.08,post engagement,1,2022,1,1,2022,1,False,4.248495242049359,7.16703787691222,7.260522598089852
Travel,50.0,post engagement,10,2019,4,10,2019,4,False,8.195057690895077,11.237870006914664,12.394235442349116
Travel,96.67,post engagement,1,2022,1,1,2022,1,False,9.268609280100158,8.152198015861787,10.06615897040696
Ecommerce & Retail,127.07,CONVERSIONS,3,2021,1,2,2021,1,False,3.332204510175204,11.582777966869061,12.528775518065387
Ecommerce & Retail,111.44,CONVERSIONS,6,2021,2,5,2021,2,False,3.828641396489095,11.782143114331042,12.583059400834362
B2B,205.85,lead generation,7,2020,3,6,2020,2,False,4.48863636973214,11.643497482962099,12.92639472112032
Automotive,187.98,CONVERSIONS,3,2022,1,2,2022,1,False,3.2188758248682006,10.468801361586188,11.586965577678694
Ecommerce & Retail,3.99,post engagement,7,2020,3,6,2020,2,False,4.736198448394496,7.973155433444133,8.24800570160062
Ecommerce & Retail,5.56,post engagement,11,2020,4,11,2020,4,False,5.123963979403259,9.211239967219019,9.453443401029997
Ecommerce & Retail,43.64,CONVERSIONS,4,2022,2,4,2022,2,False,3.295836866004329,9.940494278165223,11.146878165975275
Ecommerce & Retail,59.8,Traffic,3,2021,1,3,2021,1,False,7.964155718840937,11.640438785269188,12.60392216182629
Ecommerce & Retail,48.88,Traffic,2,2021,1,2,2021,1,False,6.656726524178391,11.494853139837481,12.104172801501328
Ecommerce & Retail,39.46,CONVERSIONS,5,2022,2,5,2022,2,False,2.995732273553991,10.786304227552566,11.392473871879565
Ecommerce & Retail,32.0,Traffic,12,2021,4,12,2021,4,False,7.135687347028144,11.3210504185712,12.054388920266703
B2B,255.12,lead generation,5,2019,2,5,2019,2,False,6.663132695990803,12.0466489209397,13.569836336626798
Ecommerce & Retail,98.64,post engagement,12,2020,4,11,2020,4,False,9.650915190531107,11.640729236042025,12.532948988477939
Travel,30.5,post engagement,1,2022,1,1,2022,1,False,8.426611813185,8.90231952852887,9.263596738276615
Travel,450.0,post engagement,12,2018,4,12,2018,4,False,10.140455110443408,13.452449552183527,14.195073755909748
Ecommerce & Retail,22.0,post engagement,9,2021,3,9,2021,3,False,7.399398083331354,10.235126700003637,10.687777148916288
Ecommerce & Retail,5.85,Messages,8,2021,3,8,2021,3,False,1.0986122886681098,8.355614995760183,8.51097389160232
Travel,19.1,post engagement,11,2019,4,11,2019,4,False,7.199678345691172,9.379323364330956,9.794119015480764
Ecommerce & Retail,22.62,post engagement,4,2020,2,3,2020,1,False,7.280697195384741,10.42848231821631,11.196061719154867
Ecommerce & Retail,23.71,post engagement,2,2021,1,1,2021,1,True,8.09040229659332,10.59805871874709,11.169758871056288
Travel,181.9,post engagement,9,2021,3,9,2021,3,False,9.289243969571649,12.533590626479153,13.276146561141742
Ecommerce & Retail,48.47,post engagement,12,2021,4,12,2021,4,False,8.666647144584575,10.703581490007771,11.62986369943811
Travel,0.52,post engagement,11,2019,4,11,2019,4,False,3.7612001156935624,6.013715156042802,6.018593214496234
Ecommerce & Retail,54.16,post engagement,10,2019,4,10,2019,4,False,7.842671474979457,11.556454192980048,12.128597472250762
Ecommerce & Retail,0.99,post engagement,5,2020,2,5,2020,2,False,3.7612001156935624,7.691200097522863,7.701200180857446
Ecommerce & Retail,8.0,Traffic,2,2021,1,2,2021,1,False,6.035481432524756,10.8383841174024,11.126026926435902
Ecommerce & Retail,55.73,Traffic,6,2020,2,5,2020,2,True,6.984716320118266,10.83125220648391,11.889236355648041
Ecommerce & Retail,10.89,post engagement,9,2021,3,8,2021,3,False,7.1592919047975645,9.68911789777328,10.144156630716155
Automotive,182.18,Traffic,7,2021,3,7,2021,3,False,6.061456918928017,12.03576463622803,12.19699153679398
Ecommerce & Retail,2.97,Traffic,5,2020,2,5,2020,2,False,4.890349128221754,8.929170383139624,9.236105579862208
Ecommerce & Retail,10.0,post engagement,8,2021,3,8,2021,3,False,7.878534196140362,9.780245895678089,10.145649109686099
Automotive,42.4,post engagement,3,2022,1,3,2022,1,False,10.702592570321846,11.180008899451584,11.412873058562703
Travel,593.69,post engagement,7,2021,3,7,2021,3,False,10.32485881766135,13.21674767416575,14.616649888393173
Automotive,8.13,post engagement,10,2021,4,10,2021,4,False,6.473890696352274,9.56836440548421,9.75533551151227
Ecommerce & Retail,12.0,Traffic,11,2021,4,11,2021,4,False,5.123963979403259,8.121183242078828,8.489410810403786
Ecommerce & Retail,205.04,CONVERSIONS,2,2022,1,2,2022,1,False,2.0794415416798357,11.862278670278226,13.015192334842485
Ecommerce & Retail,247.06,Traffic,12,2021,4,12,2021,4,False,8.59007183682881,12.81929961091407,13.779094468175485
Ecommerce & Retail,12.0,Traffic,8,2021,3,8,2021,3,False,5.955837369464831,10.766841535026922,11.17170195892353
Ecommerce & Retail,19.16,post engagement,3,2020,1,3,2020,1,False,8.807172622916703,11.547230268662219,11.920035885475986
